no	Correct	engineering viewpoint		design concept	[[ 0.76380378  0.23619619]]	[[[  0.73059198   0.89809416   0.70878141   0.93147199   0.77611646
no	Correct	formal specification		software user documentation	[[ 0.76380265  0.23619732]]	[[[  0.89429779   0.94764676   0.88550662   0.98460267   0.84574658
no	Correct	test automation		signal interface	[[ 0.76380348  0.23619644]]	[[[  0.91629878   0.91902557   0.84090218   0.83694471   0.48978974
yes	Correct	electronic mail		e-mail	[[ 0.0030463   0.99695373]]	[[[  0.95890891   0.98369614   0.95873822   0.98301325   0.88302005
no	Correct	process management		one-plus-one address address instruction	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.87435601   0.6809943
no	Correct	planned value		complexity of a function	[[ 0.7638033   0.23619673]]	[[[  0.93676748   0.96507696   0.90973695   0.8877794    0.81677452
no	Correct	meta-attribute		abort	[[ 0.73209977  0.26790023]]	[[[  0.82112776   0.92446211   0.89770453   0.74004215   0.2298164
yes	Correct	main program		subprogram	[[ 0.08259895  0.91740108]]	[[[ 0.9301548   0.96981085  0.88581786  0.98372457  0.75211012  0.93638012
no	Correct	origin		nonidentifying relationship	[[ 0.76380336  0.23619662]]	[[[  0.86514345   0.89365567   0.86133831   0.87849254   0.65028507
no	Correct	assessment input		logical file	[[ 0.76380306  0.23619688]]	[[[  0.92334529   0.9225526    0.87291413   0.94913509   0.75385687
yes	Correct	flag		indicator	[[ 0.26131344  0.73868656]]	[[[ 0.85453082  0.93974144  0.8998827   0.85801497  0.42958108  0.68323738
yes	Correct	cohesion		coupling	[[ 0.03303177  0.96696824]]	[[[ 0.9848581   0.99453915  0.97268849  0.83125962  0.36077733  0.62716748
no	Correct	data mart		node index	[[ 0.7563014   0.24369852]]	[[[ 0.86808763  0.90898344  0.847679    0.89104056  0.71402814  0.80619245
no	Correct	jump		replication transparency	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.78896553   0.61297278
no	Correct	task inversion		repeatability	[[ 0.76271296  0.237287  ]]	[[[  0.9444497    0.97638102   0.93297345   0.96016603   0.79108246
no	Correct	operating environment		complete cluster	[[ 0.76380366  0.23619638]]	[[[  0.9193304    0.95056827   0.92169841   0.93796299   0.73385229
no	Correct	failure ratio		compile-and-go	[[ 0.76313311  0.23686691]]	[[[  0.94394727   0.93757738   0.94093223   0.86090085   0.57833778
no	Incorrect	address modification		relative address	[[ 0.75531602  0.24468394]]	[[[  0.95543374   0.94933097   0.94928716   0.91421592   0.82371314
no	Correct	line manager		interface control	[[ 0.76378131  0.23621865]]	[[[  0.90660522   0.9524703    0.93388326   0.89616119   0.75299543
no	Correct	daily huddle		actor	[[ 0.75920123  0.24079879]]	[[[  0.74766582   0.69968675   0.71985835   0.88566323   0.5746534
no	Correct	program-sensitive fault		log	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.8398168    0.7283253
no	Incorrect	information processing requirements		software	[[ 0.76380336  0.23619662]]	[[[  0.90428414   0.97041942   0.91552801   0.8894319    0.6388313
